1,SRA Run Accession,Isolate ID,Sample ID,Genus,sensu,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,WGS Acession,Phylogroup,State,fosX,lin,mprF,norB,sul,lmo0209,mogR,lmo0675,fliP,fliQ,fliR,flhB,flhA,flhF,flgG,motA,motB,lmo0688,flaA,fliN_lmo0693,lmo0696,flgE,fliN_lmo0698,fliM,fliY,flgK,flgL,fliD,lmo0708,flgB,flgC,fliE,fliF,fliG,fliH,fliI,comK,comEC,comG,comGF,comGD,comGA,cinA,comEB,comEA,coiA,comFC,comFA
73,SRR10019262,L7-0230,AL-OM-1,Listeria,strictu,L. monocytogenes,199,23,2934033,37.86,343486,189.782,PRJNA561882,VTKB00000000,L1,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,SRR11344215,L7-0231,AL-OM-1,Listeria,lato,L. booriae,S5023,29,3722216,41.73,320911,126.691,PRJNA561882,JAARYL000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
75,SRR11344214,L7-0232,AL-OM-1,Listeria,lato,L. booriae,S5024,33,3757166,41.77,278148,126.759,PRJNA561882,JAARYK000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
76,SRR11344213,L7-0233,AL-OM-1,Listeria,strictu,L. cossartiae,200,11,2870397,38.63,1439256,175.808,PRJNA561882,JAARYJ000000000,L5,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
77,SRR10019188,L7-0235,AL-OM-2,Listeria,strictu,L. monocytogenes,201,18,2969808,37.74,526585,111.824,PRJNA561882,VTKA00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,SRR11344212,L7-0236,AL-OM-2,Listeria,lato,L. booriae,S5023,20,3499123,42.06,442794,142.887,PRJNA561882,JAARYI000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0
79,SRR10019189,L7-0239,AL-OM-3,Listeria,strictu,L. monocytogenes,57,13,2940344,37.76,491219,118.841,PRJNA561882,VTJZ00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,SRR11344211,L7-0245,AL-OM-4,Listeria,lato,L. booriae,S5024,22,3600116,42.09,597675,83.8888,PRJNA561882,JAARYH000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
81,SRR10019190,L7-0251,AL-OM-5,Listeria,strictu,L. monocytogenes,202,14,2939360,37.83,314168,251.833,PRJNA561882,VTJY00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,SRR11344210,L7-0253,AL-OM-5,Listeria,strictu,L. cossartiae,203,12,2800390,38.75,522584,148.07,PRJNA561882,JAARYG000000000,L5,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
83,SRR11344209,L7-0255,AL-OM-5,Listeria,lato,L. booriae,S5025,28,3592679,41.92,374369,91.6967,PRJNA561882,JAARYF000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
84,SRR11344208,L7-0256,AL-OM-5,Listeria,lato,L. booriae,S5026,20,3749452,41.68,402087,131.986,PRJNA561882,JAARYE000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
85,SRR11344207,L7-0259,AL-TIH-1,Listeria,lato,L. booriae,S5027,25,3841756,41.5,490663,106.382,PRJNA561882,JAARYD000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
86,SRR10019261,L7-0261,AL-TIH-2,Listeria,strictu,L. monocytogenes,57,30,3100079,37.62,470216,146.343,PRJNA561882,VTJX00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,SRR11344206,L7-0269,AL-TIH-3,Listeria,lato,L. booriae,S5028,28,3620709,42.05,270824,70.1067,PRJNA561882,JAARYC000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
88,SRR11344204,L7-0273,AL-TIH-4,Listeria,lato,L. booriae,S5024,32,3509913,42.0,351168,159.55,PRJNA561882,JAASWS000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
89,SRR11344203,L7-0278,AL-TIH-4,Listeria,lato,L. booriae,S5029,15,3723017,41.87,479822,99.1269,PRJNA561882,JAARYB000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
90,SRR11344202,L7-0279,AR-LL-2,Listeria,strictu,L. innocua,204,13,2853465,37.39,584637,148.958,PRJNA561882,JAARYA000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1
91,SRR11344201,L7-0280,AR-LL-2,Listeria,strictu,L. innocua,142,15,2796832,37.41,528850,103.452,PRJNA561882,JAARXZ000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1
92,SRR11344200,L7-0285,AR-LL-3,Listeria,strictu,L. innocua,205,12,2773505,37.42,461061,190.848,PRJNA561882,JAARXY000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
93,SRR11344199,L7-0288,AR-LL-3,Listeria,strictu,L. innocua,206,50,3139428,37.11,240885,106.903,PRJNA561882,JAARXX000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
94,SRR11344198,L7-0291,AR-LL-5,Listeria,strictu,L. innocua,10,10,2857661,37.42,1501383,159.296,PRJNA561882,JAARXW000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
95,SRR11344197,L7-0297,AR-BG-2,Listeria,strictu,L. innocua,207,16,2987776,37.21,405074,99.4132,PRJNA561882,JAARXV000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
96,SRR11344196,L7-0303,AR-BG-3,Listeria,strictu,L. innocua,208,14,2822006,37.36,389057,200.893,PRJNA561882,JAARXU000000000,L6,AR,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
97,SRR11344195,L7-0304,AR-BG-3,Listeria,strictu,L. innocua,209,28,3077314,37.09,524942,118.819,PRJNA561882,JAARXT000000000,L6,AR,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
98,SRR11344193,L7-0309,AR-BG-4,Listeria,strictu,L. innocua,210,9,2844224,37.42,524500,171.252,PRJNA561882,JAARXS000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
99,SRR11344192,L7-0311,AR-BG-5,Listeria,strictu,L. innocua,211,16,2812589,37.4,381060,175.631,PRJNA561882,JAARXR000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
100,SRR11344191,L7-0312,AR-BG-5,Listeria,strictu,L. innocua,212,11,2818069,37.39,543579,216.747,PRJNA561882,JAARXQ000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
101,SRR11344126,L7-0313,AR-BG-5,Listeria,strictu,L. innocua,208,12,2810000,37.36,554747,138.453,PRJNA561882,JAARXP000000000,L6,AR,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
102,SRR11344125,L7-0317,AR-FR-1,Listeria,strictu,L. innocua,128,15,2882025,37.31,475666,176.294,PRJNA561882,JAARXO000000000,L6,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0
103,SRR10019260,L7-0323,AR-FR-3,Listeria,strictu,L. monocytogenes,213,11,2921314,37.99,1471583,207.359,PRJNA561882,VTJW00000000,L1,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,SRR10019191,L7-0325,AR-FR-3,Listeria,strictu,L. monocytogenes,90,8,2839512,38.05,1432169,158.906,PRJNA561882,VTJV00000000,L1,AR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
105,SRR10019192,L7-0327,KY-RR-1,Listeria,strictu,L. monocytogenes,57,12,2857803,37.91,1454930,213.464,PRJNA561882,VTJU00000000,L2,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,SRR11344124,L7-0329,KY-RR-1,Listeria,strictu,L. marthii,214,9,2721609,38.79,518466,145.225,PRJNA561882,JAARXN000000000,L4,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
107,SRR11344123,L7-0331,KY-RR-1,Listeria,strictu,L. marthii,215,11,2708141,38.73,1375048,102.108,PRJNA561882,JAARXM000000000,L4,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
108,SRR11344122,L7-0335,KY-RR-2,Listeria,lato,L. booriae,S5030,25,3567458,42.03,387223,59.0053,PRJNA561882,JAARXL000000000,L12,KY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
109,SRR9620893,L7-0337,KY-RR-2,Listeria,strictu,L. monocytogenes,57,21,2859979,37.86,362519,133.126,PRJNA514286,AAHZHV000000000,L2,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,SRR10019193,L7-0339,KY-RR-3,Listeria,strictu,L. monocytogenes,100,10,2899397,37.96,526597,139.249,PRJNA561882,VTJT00000000,L1,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,SRR10019259,L7-0347,KY-RR-4,Listeria,strictu,L. monocytogenes,57,16,2862063,37.92,570830,59.1038,PRJNA561882,VTJS00000000,L2,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,SRR11344121,L7-0349,KY-RR-4,Listeria,strictu,L. marthii,216,10,2744568,38.71,503197,144.889,PRJNA561882,JAARXK000000000,L4,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
113,SRR11344120,L7-0350,KY-RR-4,Listeria,strictu,L. marthii,217,10,2733216,38.75,1410059,160.931,PRJNA561882,JAARXJ000000000,L4,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
114,SRR10019257,L7-0355,KY-RR-5,Listeria,strictu,L. monocytogenes,137,29,3143364,37.73,379082,118.577,PRJNA561882,VTJR00000000,L1,KY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,SRR11344118,L7-0360,KY-RR-5,Listeria,lato,L. booriae,S5031,27,3719764,41.84,418404,74.7688,PRJNA561882,JAARXI000000000,L12,KY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
116,SRR11344117,L7-0361,NY-BM-1,Listeria,strictu,L. welshimeri,19,12,2763121,36.19,519329,189.11,PRJNA561882,JAARXH000000000,L8,NY,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
117,SRR11344116,L7-0367,NY-BM-2,Listeria,strictu,L. marthii,136,9,2790333,38.59,565076,216.897,PRJNA561882,JAARXG000000000,L4,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
118,SRR11344115,L7-0368,NY-BM-2,Listeria,strictu,L. marthii,18,9,2780794,38.63,531285,190.106,PRJNA561882,JAARXF000000000,L4,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
119,SRR11344114,L7-0369,NY-BM-2,Listeria,strictu,L. marthii,218,14,2930998,38.59,500293,116.56,PRJNA561882,JAARXE000000000,L4,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
120,SRR11344113,L7-0370,NY-BM-2,Listeria,lato,L. booriae,S5032,23,3607809,41.82,292954,118.413,PRJNA561882,JAARXD000000000,L12,NY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
121,SRR11344112,L7-0371,NY-BM-2,Listeria,strictu,L. welshimeri,21,17,2919603,36.12,455263,163.216,PRJNA561882,JAARXC000000000,L8,NY,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
122,SRR11344111,L7-0373,NY-BM-3,Listeria,strictu,L. marthii,136,12,2752366,38.65,506079,119.733,PRJNA561882,JAARXB000000000,L4,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
123,SRR10019194,L7-0375,NY-BM-3,Listeria,strictu,L. monocytogenes,64,16,2879590,37.91,510374,133.318,PRJNA561882,VTJQ00000000,L3,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,SRR10019195,L7-0379,NY-BM-5,Listeria,strictu,L. monocytogenes,159,16,2875484,37.89,430856,162.954,PRJNA561882,VTJP00000000,L2,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,SRR11344110,L7-0381,NY-BM-5,Listeria,strictu,L. welshimeri,15,31,2829344,36.24,253748,251.968,PRJNA561882,JAARXA000000000,L8,NY,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
126,SRR11344109,L7-0384,NY-BM-5,Listeria,strictu,L. welshimeri,16,19,2889699,36.19,384202,135.09,PRJNA561882,JAARWZ000000000,L8,NY,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
127,SRR11344107,L7-0385,NY-BM-5,Listeria,lato,L. booriae,S5033,24,3466236,42.06,376537,159.43,PRJNA561882,JAARWY000000000,L12,NY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
128,SRR11344106,L7-0387,TX-CB-2,Listeria,strictu,L. welshimeri,219,13,2761935,36.32,524445,212.874,PRJNA561882,JAARWX000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
129,SRR11344105,L7-0393,TX-CB-4,Listeria,strictu,L. welshimeri,178,17,2733024,36.23,373372,69.3152,PRJNA561882,JAASWR000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
130,SRR10019196,L7-0399,IL-PM-1,Listeria,strictu,L. monocytogenes,107,15,2846562,38.03,486828,55.6144,PRJNA561882,VTJO00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,SRR11344104,L7-0401,IL-PM-1,Listeria,strictu,L. seeligeri,24,25,2868978,37.19,384427,36.6899,PRJNA561882,JAASWQ000000000,L9,IL,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
132,SRR10019197,L7-0403,IL-PM-1,Listeria,strictu,L. monocytogenes,220,15,2875342,38.05,1447653,59.645,PRJNA561882,VTJN00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,SRR10019198,L7-0407,IL-PM-2,Listeria,strictu,L. monocytogenes,90,13,2806286,38.13,497500,30.6561,PRJNA561882,VTJM00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,SRR10019199,L7-0408,IL-PM-2,Listeria,strictu,L. monocytogenes,107,16,2847720,38.02,514454,34.8553,PRJNA561882,VTJL00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,SRR10019200,L7-0410,IL-PM-2,Listeria,strictu,L. monocytogenes,221,21,2829855,38.06,297369,37.2597,PRJNA561882,VTJK00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
136,SRR10019201,L7-0411,IL-PM-2,Listeria,strictu,L. monocytogenes,222,11,2845241,38.02,1456564,48.4312,PRJNA561882,VTJJ00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,SRR10019202,L7-0415,IL-PM-3,Listeria,strictu,L. monocytogenes,90,15,2842453,38.07,517187,68.6872,PRJNA561882,VTJI00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,SRR9845434,L7-0419,IL-PM-3,Listeria,strictu,L. monocytogenes,223,10,2847530,38.05,497866,149.785,PRJNA514286,AAJADN000000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,SRR10019204,L7-0421,IL-PM-4,Listeria,strictu,L. monocytogenes,90,14,2834759,38.07,517396,36.2711,PRJNA561882,VTJH00000000,L1,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,SRR10019205,L7-0427,SC-AJ-1,Listeria,strictu,L. monocytogenes,57,22,3027124,37.76,275698,40.8925,PRJNA561882,VTJG00000000,L2,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
141,SRR11344103,L7-0435,SC-AJ-2,Listeria,lato,L. booriae,S5034,104,3671426,41.59,435646,129.791,PRJNA561882,JAARWW000000000,L12,SC,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
142,SRR10019206,L7-0437,SC-AJ-3,Listeria,strictu,L. monocytogenes,224,48,3182705,37.79,373728,49.7428,PRJNA561882,VTJF00000000,L1,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,SRR9845431,L7-0443,SC-AJ-4,Listeria,strictu,L. monocytogenes,57,19,2940593,37.81,285593,140.077,PRJNA514286,AAJADK000000000,L2,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,SRR10019207,L7-0451,SC-AJ-5,Listeria,strictu,L. monocytogenes,57,14,2885688,37.89,713383,50.8465,PRJNA561882,VTJE00000000,L2,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,SRR11344102,L7-0459,AL-CSP-3,Listeria,lato,L. booriae,S5035,22,3560257,41.98,443909,129.292,PRJNA561882,JAARWV000000000,L12,AL,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
